"","species","A.art_S7","A.tri_S6","B.pap_S3","B.sco_S5","C.ill_S4","mix10_S37","mix10_S38","mix10_S39","mix11_S40","mix11_S41","mix11_S42","mix12_S43","mix12_S44","mix12_S45","mix13_S46","mix13_S47","mix13_S48","mix14_S49","mix14_S50","mix14_S51","mix15_S52","mix15_S53","mix15_S54","mix16_S55","mix16_S56","mix16_S57","mix17_S58","mix17_S59","mix17_S60","mix18_S61","mix18_S62","mix18_S63","mix19_S64","mix19_S65","mix19_S66","mix1_S10","mix1_S11","mix1_S12","mix20_S67","mix20_S68","mix20_S69","mix21_S70","mix21_S71","mix21_S72","mix22_S73","mix22_S74","mix22_S75","mix23_S76","mix23_S77","mix23_S78","mix24_S79","mix24_S80","mix24_S81","mix25_S82","mix25_S83","mix25_S84","mix26_S85","mix26_S86","mix26_S87","mix27_S88","mix27_S89","mix27_S90","mix28_S91","mix28_S92","mix28_S93","mix2_S13","mix2_S14","mix2_S15","mix3_S16","mix3_S17","mix3_S18","mix4_S19","mix4_S20","mix4_S21","mix5_S22","mix5_S23","mix5_S24","mix6_S25","mix6_S26","mix6_S27","mix7_S28","mix7_S29","mix7_S30","mix8_S31","mix8_S32","mix8_S33","mix9_S34","mix9_S35","mix9_S36","P.del_S2","P.pra_S8","P.tre_S1","Z.mays_S9"
"1","Agrimonia eupatoria",0,0,0,0,0,0,0,0,0,0,0,37,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Agrostis stolonifera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"3","Alnus incana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Ambrosia artemisiifolia",29678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3373,7524,7613,10499,12911,7600,0,0,0,0,0,0,0,0,0,0,0,0,10652,6703,11471,0,0,0,0,0,0,0,0,0,0,1944,2492,10870,8317,5973,20385,28760,46246,81149,19116,23782,22795,17381,29251,0,0,0,0,0,0,7707,4826,7110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536
"5","Ambrosia trifida",79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,75,130,252,52,76,76,65,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Arrhenatherum elatius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Artemisia keiskeana",0,3237,0,0,0,0,0,0,0,0,0,0,0,0,1575,4171,1848,897,1422,1309,428,887,928,1583,2454,1430,0,0,0,2580,2758,2281,0,0,0,1531,1418,937,0,0,0,0,0,0,0,0,0,0,0,0,0,2726,2532,3176,2285,1474,1023,1239,2638,1711,438,504,208,143,230,924,928,1053,1250,921,2936,886,558,793,0,0,0,0,0,0,1285,1102,5189,0,0,0,0,0,0,0,0,0,0
"8","Bassia hyssopifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Bassia scoparia",0,0,0,16198,0,0,0,0,0,0,0,0,0,0,0,0,0,2120,3116,2659,845,1689,1912,0,0,0,0,0,0,0,0,0,8706,2050,2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1755,1986,2336,2364,1759,6541,1938,1210,1816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Broussonetia kazinoki",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
