"","mix.ID","sample","family","genus","species","question.1","question.2","question.3","spp.rich","pollen.grain.proportion","relatedness","sample.mix","quant.species.rbcL","qual.species.rbcL","quant.genus.rbcL","qual.genus.rbcL","quant.family.rbcL","qual.family.rbcL","quant.species.ITS","qual.species.ITS","quant.genus.ITS","qual.genus.ITS","quant.family.ITS","qual.family.ITS"
"1","A.art","S7","Asteraceae","Ambrosia","Ambrosia artemisiifolia",99,99,99,1,1,0,"A.art_S7",0,0,0.68814055636896,1,0.822282252783235,1,0.997345162482777,1,0.998993963782696,1,0.999038800422928,1
"2","A.tri","S6","Asteraceae","Artemisia","Artemisia tridentata",99,99,99,1,1,0,"A.tri_S6",0,0,0,0,1,1,0,0,1,1,1,1
"3","B.pap","S3","Moraceae","Broussonetia","Broussonetia papyrifera",99,99,99,1,1,0,"B.pap_S3",1,1,0.997322348094748,1,0.995505568224589,1,1,1,0.721448467966574,1,0.84958217270195,1
"4","B.sco","S5","Amaranthaceae","Bassia","Bassia scoparia",99,99,99,1,1,0,"B.sco_S5",1,1,1,1,0.999021334899198,1,0.993072159892097,1,0.993396484197104,1,0.995083322455728,1
"5","C.ill","S4","Juglandaceae","Carya","Carya illinoinensis",99,99,99,1,1,0,"C.ill_S4",0,0,0,0,0.895848315296511,1,1,1,0.983306188925081,1,0.988025700934579,1
"6","mix1","S12","Moraceae","Broussonetia","Broussonetia papyrifera",1,2,3,3,0.32,4,"mix1_S12",0.656920234556993,1,0.656920234556993,1,0.550403047214102,1,0.031023784901758,1,0.00441631090828794,1,0.00431654676258993,1
"7","mix1","S12","Poaceae","Zea","Zea mays",1,2,3,3,0.23,4,"mix1_S12",0,0,0,0,0.416024448578262,1,0,0,0,0,0,0
"8","mix1","S12","Asteraceae","Artemisia","Artemisia tridentata",1,2,3,3,0.45,4,"mix1_S12",0,0,0,0,0.0335725042076358,1,0,0,0.995583689091712,1,0.99568345323741,1
"9","mix1","S10","Moraceae","Broussonetia","Broussonetia papyrifera",1,2,3,3,0.32,4,"mix1_S10",0.713070320734829,1,0.713070320734829,1,0.555474857948477,1,0.0413274890419537,1,0.00613496932515337,1,0.0059669107675617,1
"10","mix1","S10","Poaceae","Zea","Zea mays",1,2,3,3,0.23,4,"mix1_S10",0,0,0,0,0.406801384201307,1,0,0,0,0,0,0
