mix.id,perc.hit,hits,miss,tax.cat,tax.id,taxonomy
 A-artemisiifolia-F3_S17_L001_R1_001,99.98,961891,0,-,1,root
 A-artemisiifolia-F3_S17_L001_R1_001,99.98,961891,0,-,131567,cellular organisms
 A-artemisiifolia-F3_S17_L001_R1_001,99.98,961891,263,D,2759,Eukaryota
 A-artemisiifolia-F3_S17_L001_R1_001,99.95,961621,1045,K,33090,Viridiplantae
 A-artemisiifolia-F3_S17_L001_R1_001,99.83,960484,28,P,35493,Streptophyta
 A-artemisiifolia-F3_S17_L001_R1_001,99.83,960454,0,-,131221,Streptophytina
 A-artemisiifolia-F3_S17_L001_R1_001,99.83,960454,51,-,3193,Embryophyta
 A-artemisiifolia-F3_S17_L001_R1_001,99.82,960399,68,-,58023,Tracheophyta
 A-artemisiifolia-F3_S17_L001_R1_001,99.82,960325,0,-,78536,Euphyllophyta
 A-artemisiifolia-F3_S17_L001_R1_001,99.82,960325,104176,-,58024,Spermatophyta
 A-artemisiifolia-F3_S17_L001_R1_001,74.6,717708,454,-,3398,Magnoliophyta
 A-artemisiifolia-F3_S17_L001_R1_001,74.54,717113,49581,-,1437183,Mesangiospermae
 A-artemisiifolia-F3_S17_L001_R1_001,66.79,642588,2282,-,71240,eudicotyledons
 A-artemisiifolia-F3_S17_L001_R1_001,66.47,639514,0,-,91827,Gunneridae
 A-artemisiifolia-F3_S17_L001_R1_001,66.47,639514,172832,-,1437201,Pentapetalae
 A-artemisiifolia-F3_S17_L001_R1_001,31.27,300823,68485,-,71275,rosids
 A-artemisiifolia-F3_S17_L001_R1_001,16.96,163186,44602,-,91835,fabids
 A-artemisiifolia-F3_S17_L001_R1_001,4.48,43071,0,O,72025,Fabales
 A-artemisiifolia-F3_S17_L001_R1_001,4.48,43071,0,F,3803,Fabaceae
 A-artemisiifolia-F3_S17_L001_R1_001,4.48,43071,4833,-,3814,Papilionoideae
 A-artemisiifolia-F3_S17_L001_R1_001,1.58,15204,751,-,163735,Phaseoleae
 A-artemisiifolia-F3_S17_L001_R1_001,3.68,35380,2192,O,3744,Rosales
 A-artemisiifolia-F3_S17_L001_R1_001,1.66,16013,432,F,3745,Rosaceae
 A-artemisiifolia-F3_S17_L001_R1_001,1.35,12951,321,F,3481,Cannabaceae
 A-artemisiifolia-F3_S17_L001_R1_001,1.01,9724,0,G,3484,Humulus
 A-artemisiifolia-F3_S17_L001_R1_001,1.01,9724,0,S,3486,Humulus lupulus
 A-artemisiifolia-F3_S17_L001_R1_001,1.01,9724,9724,-,1571165,Humulus lupulus var. lupulus
 A-artemisiifolia-F3_S17_L001_R1_001,2.07,19946,794,O,3646,Malpighiales
 A-artemisiifolia-F3_S17_L001_R1_001,1.15,11055,202,F,3977,Euphorbiaceae
 A-artemisiifolia-F3_S17_L001_R1_001,1.43,13769,488,O,3502,Fagales
 A-artemisiifolia-F3_S17_L001_R1_001,6.88,66207,7533,-,91836,malvids
 A-artemisiifolia-F3_S17_L001_R1_001,2.98,28652,568,O,3699,Brassicales
 A-artemisiifolia-F3_S17_L001_R1_001,2.68,25798,2582,F,3700,Brassicaceae
 A-artemisiifolia-F3_S17_L001_R1_001,2.26,21758,432,O,41938,Malvales
 A-artemisiifolia-F3_S17_L001_R1_001,1.77,17051,206,F,3629,Malvaceae
 A-artemisiifolia-F3_S17_L001_R1_001,1.56,15042,0,-,214907,Malvoideae
 A-artemisiifolia-F3_S17_L001_R1_001,1.56,15042,6021,G,3633,Gossypium
 A-artemisiifolia-F3_S17_L001_R1_001,16.3,156793,12013,-,71274,asterids
 A-artemisiifolia-F3_S17_L001_R1_001,10.29,98982,5173,-,91888,lamiids
 A-artemisiifolia-F3_S17_L001_R1_001,8.73,83978,819,O,4069,Solanales
 A-artemisiifolia-F3_S17_L001_R1_001,8.49,81693,6208,F,4070,Solanaceae
 A-artemisiifolia-F3_S17_L001_R1_001,4.69,45168,2733,-,424551,Solanoideae
 A-artemisiifolia-F3_S17_L001_R1_001,2.53,24385,0,-,424574,Solaneae
 A-artemisiifolia-F3_S17_L001_R1_001,2.53,24385,2758,G,4107,Solanum
 A-artemisiifolia-F3_S17_L001_R1_001,1.39,13359,4813,-,49274,Lycopersicon
 A-artemisiifolia-F3_S17_L001_R1_001,1.88,18050,0,-,424564,Capsiceae
 A-artemisiifolia-F3_S17_L001_R1_001,1.88,18050,0,G,4071,Capsicum
 A-artemisiifolia-F3_S17_L001_R1_001,1.88,18050,18050,S,4072,Capsicum annuum
 A-artemisiifolia-F3_S17_L001_R1_001,3.15,30317,0,-,424554,Nicotianoideae
 A-artemisiifolia-F3_S17_L001_R1_001,3.15,30317,0,-,424562,Nicotianeae
 A-artemisiifolia-F3_S17_L001_R1_001,3.15,30317,14157,G,4085,Nicotiana
 A-artemisiifolia-F3_S17_L001_R1_001,4.13,39748,0,-,91882,campanulids
 A-artemisiifolia-F3_S17_L001_R1_001,4.13,39748,0,O,4209,Asterales
 A-artemisiifolia-F3_S17_L001_R1_001,4.13,39748,1378,F,4210,Asteraceae
 A-artemisiifolia-F3_S17_L001_R1_001,2.47,23743,0,-,219120,Cichorioideae
 A-artemisiifolia-F3_S17_L001_R1_001,2.47,23743,0,-,219121,Cichorieae
 A-artemisiifolia-F3_S17_L001_R1_001,2.47,23743,0,-,745062,Lactucinae
 A-artemisiifolia-F3_S17_L001_R1_001,2.47,23743,0,G,4235,Lactuca
 A-artemisiifolia-F3_S17_L001_R1_001,2.47,23743,23743,S,4236,Lactuca sativa
 A-artemisiifolia-F3_S17_L001_R1_001,1.52,14627,402,-,102804,Asteroideae
 A-artemisiifolia-F3_S17_L001_R1_001,2.59,24944,85,C,4447,Liliopsida
 A-artemisiifolia-F3_S17_L001_R1_001,2.56,24632,221,-,1437197,Petrosaviidae
 A-artemisiifolia-F3_S17_L001_R1_001,2.46,23658,977,-,4734,commelinids
 A-artemisiifolia-F3_S17_L001_R1_001,2.03,19491,0,O,38820,Poales
 A-artemisiifolia-F3_S17_L001_R1_001,2.03,19491,938,F,4479,Poaceae
 A-artemisiifolia-F3_S17_L001_R1_001,1.61,15473,686,-,359160,BOP clade
 A-artemisiifolia-F3_S17_L001_R1_001,1.16,11150,89,-,147368,Pooideae
 A-artemisiifolia-F3_S17_L001_R1_001,1.11,10689,0,-,1648038,Triticodae
 A-artemisiifolia-F3_S17_L001_R1_001,1.11,10689,613,-,147389,Triticeae
