"","mix.id","perc.hit","hits","misses","tax","tax.id","id","source","order","family","genus","species"
"1","c_illinoinensis/EIGC13-3_S18_L001_R1_001",32.59,247223,8709,"O",3502,"Fagales","Emory","Fagales",NA,NA,NA
"2","c_illinoinensis/EIGC13-3_S18_L001_R1_001",30.15,228720,0,"F",16714,"Juglandaceae","Emory","Fagales","Juglandaceae",NA,NA
"3","c_illinoinensis/EIGC13-3_S18_L001_R1_001",30.15,228720,0,"G",16718,"Juglans","Emory","Fagales","Juglandaceae","Juglans",NA
"4","c_illinoinensis/EIGC13-3_S18_L001_R1_001",30.15,228720,228720,"S",51240,"Juglans regia","Emory","Fagales","Juglandaceae","Juglans","Juglans regia"
"5","c_illinoinensis/EIGC13-3_S18_L001_R1_001",2.64,20061,0,"O",72025,"Fabales","Emory","Fabales",NA,NA,NA
"6","c_illinoinensis/EIGC13-3_S18_L001_R1_001",2.64,20061,0,"F",3803,"Fabaceae","Emory","Fabales","Fabaceae",NA,NA
"7","c_illinoinensis/EIGC13-3_S18_L001_R1_001",2.21,16784,999,"O",3744,"Rosales","Emory","Rosales",NA,NA,NA
"8","c_illinoinensis/EIGC13-3_S18_L001_R1_001",1.33,10084,311,"O",3646,"Malpighiales","Emory","Malpighiales",NA,NA,NA
"9","c_illinoinensis/EIGC13-3_S18_L001_R1_001",1.61,12236,327,"O",3699,"Brassicales","Emory","Brassicales",NA,NA,NA
"10","c_illinoinensis/EIGC13-3_S18_L001_R1_001",1.41,10674,990,"F",3700,"Brassicaceae","Emory","Brassicales","Brassicaceae",NA,NA
"11","c_illinoinensis/EIGC13-3_S18_L001_R1_001",1.2,9109,154,"O",41938,"Malvales","Emory","Malvales",NA,NA,NA
"12","c_illinoinensis/EIGC13-3_S18_L001_R1_001",3.94,29884,329,"O",4069,"Solanales","Emory","Solanales",NA,NA,NA
"13","c_illinoinensis/EIGC13-3_S18_L001_R1_001",3.8,28842,1979,"F",4070,"Solanaceae","Emory","Solanales","Solanaceae",NA,NA
"14","c_illinoinensis/EIGC13-3_S18_L001_R1_001",1.24,9445,1053,"G",4107,"Solanum","Emory","Solanales","Solanaceae","Solanum",NA
"15","c_illinoinensis/EIGC13-3_S18_L001_R1_001",1.34,10170,5340,"G",4085,"Nicotiana","Emory","Solanales","Solanaceae","Nicotiana",NA
"16","c_illinoinensis/EIGC13-3_S18_L001_R1_001",1.81,13768,0,"O",38820,"Poales","Emory","Poales",NA,NA,NA
"17","c_illinoinensis/EIGC13-3_S18_L001_R1_001",1.81,13768,824,"F",4479,"Poaceae","Emory","Poales","Poaceae",NA,NA
"18","c_illinoinensis/EIGC13-3_S18_L001_R1_001",8.24,62517,0,"O",1446380,"Pinales","Emory","Pinales",NA,NA,NA
"19","c_illinoinensis/EIGC13-3_S18_L001_R1_001",8.24,62517,4763,"F",3318,"Pinaceae","Emory","Pinales","Pinaceae",NA,NA
"20","c_illinoinensis/EIGC13-3_S18_L001_R1_001",6.13,46470,4600,"G",3337,"Pinus","Emory","Pinales","Pinaceae","Pinus",NA
"21","c_illinoinensis/EIGC13-3_S18_L001_R1_001",3.16,23945,23945,"S",3343,"Pinus lambertiana","Emory","Pinales","Pinaceae","Pinus","Pinus lambertiana"
"22","c_illinoinensis/EIGC13-3_S18_L001_R1_001",2.36,17925,17925,"S",3352,"Pinus taeda","Emory","Pinales","Pinaceae","Pinus","Pinus taeda"
"23","c_illinoinensis/EIGC13-3_S18_L001_R1_001",1.49,11284,0,"G",3328,"Picea","Emory","Pinales","Pinaceae","Picea",NA
"24","c_illinoinensis/EIGC13-3_S18_L001_R1_001",1.49,11284,11284,"S",3330,"Picea glauca","Emory","Pinales","Pinaceae","Picea","Picea glauca"
"25","c_illinoinensis/EIGC13-3_S18_L001_R2_001",31.73,240726,8630,"O",3502,"Fagales","Emory","Fagales",NA,NA,NA
"26","c_illinoinensis/EIGC13-3_S18_L001_R2_001",29.3,222322,0,"F",16714,"Juglandaceae","Emory","Fagales","Juglandaceae",NA,NA
"27","c_illinoinensis/EIGC13-3_S18_L001_R2_001",29.3,222322,0,"G",16718,"Juglans","Emory","Fagales","Juglandaceae","Juglans",NA
"28","c_illinoinensis/EIGC13-3_S18_L001_R2_001",29.3,222322,222322,"S",51240,"Juglans regia","Emory","Fagales","Juglandaceae","Juglans","Juglans regia"
"29","c_illinoinensis/EIGC13-3_S18_L001_R2_001",2.69,20446,0,"O",72025,"Fabales","Emory","Fabales",NA,NA,NA
"30","c_illinoinensis/EIGC13-3_S18_L001_R2_001",2.69,20446,0,"F",3803,"Fabaceae","Emory","Fabales","Fabaceae",NA,NA
"31","c_illinoinensis/EIGC13-3_S18_L001_R2_001",2.27,17214,971,"O",3744,"Rosales","Emory","Rosales",NA,NA,NA
"32","c_illinoinensis/EIGC13-3_S18_L001_R2_001",1,7577,161,"F",3745,"Rosaceae","Emory","Rosales","Rosaceae",NA,NA
"33","c_illinoinensis/EIGC13-3_S18_L001_R2_001",1.36,10297,353,"O",3646,"Malpighiales","Emory","Malpighiales",NA,NA,NA
"34","c_illinoinensis/EIGC13-3_S18_L001_R2_001",1.69,12793,323,"O",3699,"Brassicales","Emory","Brassicales",NA,NA,NA
"35","c_illinoinensis/EIGC13-3_S18_L001_R2_001",1.47,11141,1001,"F",3700,"Brassicaceae","Emory","Brassicales","Brassicaceae",NA,NA
"36","c_illinoinensis/EIGC13-3_S18_L001_R2_001",1.21,9154,143,"O",41938,"Malvales","Emory","Malvales",NA,NA,NA
"37","c_illinoinensis/EIGC13-3_S18_L001_R2_001",4.01,30435,290,"O",4069,"Solanales","Emory","Solanales",NA,NA,NA
"38","c_illinoinensis/EIGC13-3_S18_L001_R2_001",3.88,29417,2057,"F",4070,"Solanaceae","Emory","Solanales","Solanaceae",NA,NA
"39","c_illinoinensis/EIGC13-3_S18_L001_R2_001",1.27,9647,1076,"G",4107,"Solanum","Emory","Solanales","Solanaceae","Solanum",NA
"40","c_illinoinensis/EIGC13-3_S18_L001_R2_001",1.35,10219,5387,"G",4085,"Nicotiana","Emory","Solanales","Solanaceae","Nicotiana",NA
"41","c_illinoinensis/EIGC13-3_S18_L001_R2_001",1.88,14292,0,"O",38820,"Poales","Emory","Poales",NA,NA,NA
"42","c_illinoinensis/EIGC13-3_S18_L001_R2_001",1.88,14292,914,"F",4479,"Poaceae","Emory","Poales","Poaceae",NA,NA
"43","c_illinoinensis/EIGC13-3_S18_L001_R2_001",8.42,63854,0,"O",1446380,"Pinales","Emory","Pinales",NA,NA,NA
"44","c_illinoinensis/EIGC13-3_S18_L001_R2_001",8.42,63854,4781,"F",3318,"Pinaceae","Emory","Pinales","Pinaceae",NA,NA
"45","c_illinoinensis/EIGC13-3_S18_L001_R2_001",6.25,47447,4547,"G",3337,"Pinus","Emory","Pinales","Pinaceae","Pinus",NA
"46","c_illinoinensis/EIGC13-3_S18_L001_R2_001",3.24,24550,24550,"S",3343,"Pinus lambertiana","Emory","Pinales","Pinaceae","Pinus","Pinus lambertiana"
"47","c_illinoinensis/EIGC13-3_S18_L001_R2_001",2.42,18350,18350,"S",3352,"Pinus taeda","Emory","Pinales","Pinaceae","Pinus","Pinus taeda"
"48","c_illinoinensis/EIGC13-3_S18_L001_R2_001",1.53,11626,0,"G",3328,"Picea","Emory","Pinales","Pinaceae","Picea",NA
"49","c_illinoinensis/EIGC13-3_S18_L001_R2_001",1.53,11626,11626,"S",3330,"Picea glauca","Emory","Pinales","Pinaceae","Picea","Picea glauca"
"50","c_illinoinensis/EIGC13-3_S18_L002_R1_001",32.67,250225,8592,"O",3502,"Fagales","Emory","Fagales",NA,NA,NA
"51","c_illinoinensis/EIGC13-3_S18_L002_R1_001",30.29,231968,0,"F",16714,"Juglandaceae","Emory","Fagales","Juglandaceae",NA,NA
"52","c_illinoinensis/EIGC13-3_S18_L002_R1_001",30.29,231968,0,"G",16718,"Juglans","Emory","Fagales","Juglandaceae","Juglans",NA
"53","c_illinoinensis/EIGC13-3_S18_L002_R1_001",30.29,231968,231968,"S",51240,"Juglans regia","Emory","Fagales","Juglandaceae","Juglans","Juglans regia"
"54","c_illinoinensis/EIGC13-3_S18_L002_R1_001",2.63,20146,0,"O",72025,"Fabales","Emory","Fabales",NA,NA,NA
"55","c_illinoinensis/EIGC13-3_S18_L002_R1_001",2.63,20146,0,"F",3803,"Fabaceae","Emory","Fabales","Fabaceae",NA,NA
"56","c_illinoinensis/EIGC13-3_S18_L002_R1_001",2.24,17164,1040,"O",3744,"Rosales","Emory","Rosales",NA,NA,NA
"57","c_illinoinensis/EIGC13-3_S18_L002_R1_001",1.33,10188,358,"O",3646,"Malpighiales","Emory","Malpighiales",NA,NA,NA
"58","c_illinoinensis/EIGC13-3_S18_L002_R1_001",1.62,12439,296,"O",3699,"Brassicales","Emory","Brassicales",NA,NA,NA
"59","c_illinoinensis/EIGC13-3_S18_L002_R1_001",1.41,10812,941,"F",3700,"Brassicaceae","Emory","Brassicales","Brassicaceae",NA,NA
"60","c_illinoinensis/EIGC13-3_S18_L002_R1_001",1.18,9044,158,"O",41938,"Malvales","Emory","Malvales",NA,NA,NA
"61","c_illinoinensis/EIGC13-3_S18_L002_R1_001",3.91,29941,289,"O",4069,"Solanales","Emory","Solanales",NA,NA,NA
"62","c_illinoinensis/EIGC13-3_S18_L002_R1_001",3.78,28928,2047,"F",4070,"Solanaceae","Emory","Solanales","Solanaceae",NA,NA
"63","c_illinoinensis/EIGC13-3_S18_L002_R1_001",1.24,9479,1059,"G",4107,"Solanum","Emory","Solanales","Solanaceae","Solanum",NA
"64","c_illinoinensis/EIGC13-3_S18_L002_R1_001",1.32,10086,5325,"G",4085,"Nicotiana","Emory","Solanales","Solanaceae","Nicotiana",NA
