"","mix.id","perc.hit","hits","misses","tax","tax.id","id","source","order","family","genus","species"
"1","seqs_mix10_1GB",65.77,8220734,0,"O",38820,"Poales","Simulated UGA 9Jul15","Poales",NA,NA,NA
"2","seqs_mix10_1GB",65.77,8220734,374345,"F",4479,"Poaceae","Simulated UGA 9Jul15","Poales","Poaceae",NA,NA
"3","seqs_mix10_1GB",40.17,5021523,238020,"G",4512,"Hordeum","Simulated UGA 9Jul15","Poales","Poaceae","Hordeum",NA
"4","seqs_mix10_1GB",40.17,5021523,238020,"G",4512,"Hordeum","Simulated UGA 9Jul15","Poales","Poaceae","Hordeum","Hordeum"
"5","seqs_mix10_1GB",35.59,4448318,0,"S",4513,"Hordeum vulgare","Simulated UGA 9Jul15","Poales","Poaceae","Hordeum","Hordeum vulgare"
"6","seqs_mix10_1GB",2.68,335185,335185,"S",112521,"Hordeum pubiflorum","Simulated UGA 9Jul15","Poales","Poaceae","Hordeum","Hordeum pubiflorum"
"7","seqs_mix10_1GB",2.1,262319,0,"G",4480,"Aegilops","Simulated UGA 9Jul15","Poales","Poaceae","Aegilops",NA
"8","seqs_mix10_1GB",2.1,262319,262319,"S",37682,"Aegilops tauschii","Simulated UGA 9Jul15","Poales","Poaceae","Aegilops","Aegilops tauschii"
"9","seqs_mix10_1GB",2.03,253272,8949,"G",4564,"Triticum","Simulated UGA 9Jul15","Poales","Poaceae","Triticum",NA
"10","seqs_mix10_1GB",1.91,238799,238799,"S",4572,"Triticum urartu","Simulated UGA 9Jul15","Poales","Poaceae","Triticum","Triticum urartu"
"11","seqs_mix10_1GB",2.3,287133,111345,"G",4527,"Oryza","Simulated UGA 9Jul15","Poales","Poaceae","Oryza",NA
"12","seqs_mix10_1GB",4.72,590547,13928,"O",3744,"Rosales","Simulated UGA 9Jul15","Rosales",NA,NA,NA
"13","seqs_mix10_1GB",3.36,420605,6915,"F",3487,"Moraceae","Simulated UGA 9Jul15","Rosales","Moraceae",NA,NA
"14","seqs_mix10_1GB",3,374558,0,"G",66379,"Broussonetia","Simulated UGA 9Jul15","Rosales","Moraceae","Broussonetia",NA
"15","seqs_mix10_1GB",3,374558,374558,"S",172644,"Broussonetia papyrifera","Simulated UGA 9Jul15","Rosales","Moraceae","Broussonetia","Broussonetia papyrifera"
"16","seqs_mix10_1GB",2.31,289268,2512,"O",4069,"Solanales","Simulated UGA 9Jul15","Solanales",NA,NA,NA
"17","seqs_mix10_1GB",2.2,275474,15020,"F",4070,"Solanaceae","Simulated UGA 9Jul15","Solanales","Solanaceae",NA,NA
"18","seqs_mix10_2GB",65.75,16437676,0,"O",38820,"Poales","Simulated UGA 9Jul15","Poales",NA,NA,NA
"19","seqs_mix10_2GB",65.75,16437676,748762,"F",4479,"Poaceae","Simulated UGA 9Jul15","Poales","Poaceae",NA,NA
"20","seqs_mix10_2GB",40.16,10039905,474703,"G",4512,"Hordeum","Simulated UGA 9Jul15","Poales","Poaceae","Hordeum",NA
"21","seqs_mix10_2GB",40.16,10039905,474703,"G",4512,"Hordeum","Simulated UGA 9Jul15","Poales","Poaceae","Hordeum","Hordeum"
