mix.ID,family,genus,species,question.1,question.2,question.3,spp.rich,pollen.grain.proportion,relatedness
A.art,Asteraceae,Ambrosia,Ambrosia artemisiifolia,99,99,99,1,1,0
A.tri,Asteraceae,Artemisia,Artemisia tridentata,99,99,99,1,1,0
B.pap,Moraceae,Broussonetia,Broussonetia papyrifera,99,99,99,1,1,0
B.sco,Amaranthaceae,Bassia,Bassia scoparia,99,99,99,1,1,0
C.ill,Juglandaceae,Carya,Carya illinoinensis,99,99,99,1,1,0
mix1,Asteraceae,Artemisia,Artemisia tridentata,1,2,3,3,0.45,4
mix1,Asteraceae,Artemisia,Artemisia tridentata,1,2,3,3,0.45,4
mix1,Moraceae,Broussonetia,Broussonetia papyrifera,1,2,3,3,0.32,4
mix1,Moraceae,Broussonetia,Broussonetia papyrifera,1,2,3,3,0.32,4
mix1,Poaceae,Zea,Zea mays,1,2,3,3,0.23,4
mix1,Poaceae,Zea,Zea mays,1,2,3,3,0.23,4
mix10,Moraceae,Broussonetia,Broussonetia papyrifera,2,99,99,2,0.09,2
mix10,Moraceae,Broussonetia,Broussonetia papyrifera,2,99,99,2,0.09,2
mix10,Poaceae,Poa,Poa pratensis,2,99,99,2,0.91,2
mix10,Poaceae,Poa,Poa pratensis,2,99,99,2,0.91,2
mix11,Moraceae,Broussonetia,Broussonetia papyrifera,2,3,99,2,0.09,2
mix11,Moraceae,Broussonetia,Broussonetia papyrifera,2,3,99,2,0.09,2
mix11,Poaceae,Poa,Poa pratensis,2,3,99,2,0.91,2
mix11,Poaceae,Poa,Poa pratensis,2,3,99,2,0.91,2
mix12,Moraceae,Broussonetia,Broussonetia papyrifera,2,99,99,2,0.84,3
mix12,Moraceae,Broussonetia,Broussonetia papyrifera,2,99,99,2,0.84,3
mix12,Poaceae,Zea,Zea mays,2,99,99,2,0.16,3
mix12,Poaceae,Zea,Zea mays,2,99,99,2,0.16,3
mix13,Asteraceae,Artemisia,Artemisia tridentata,2,99,99,4,0.36,3
mix13,Asteraceae,Artemisia,Artemisia tridentata,2,99,99,4,0.36,3
mix13,Moraceae,Broussonetia,Broussonetia papyrifera,2,99,99,4,0.41,3
mix13,Moraceae,Broussonetia,Broussonetia papyrifera,2,99,99,4,0.41,3
mix13,Poaceae,Poa,Poa pratensis,2,99,99,4,0.22,3
mix13,Poaceae,Poa,Poa pratensis,2,99,99,4,0.22,3
mix13,Poaceae,Zea,Zea mays,2,99,99,4,0.02,3
mix13,Poaceae,Zea,Zea mays,2,99,99,4,0.02,3
mix14,Amaranthaceae,Bassia,Bassia scoparia,2,99,99,6,0.1,4
mix14,Amaranthaceae,Bassia,Bassia scoparia,2,99,99,6,0.1,4
mix14,Asteraceae,Artemisia,Artemisia tridentata,2,99,99,6,0.26,4
mix14,Asteraceae,Artemisia,Artemisia tridentata,2,99,99,6,0.26,4
mix14,Moraceae,Broussonetia,Broussonetia papyrifera,2,99,99,6,0.19,4
mix14,Moraceae,Broussonetia,Broussonetia papyrifera,2,99,99,6,0.19,4
mix14,Poaceae,Poa,Poa pratensis,2,99,99,6,0.21,4
mix14,Poaceae,Poa,Poa pratensis,2,99,99,6,0.21,4
mix14,Poaceae,Zea,Zea mays,2,99,99,6,0.09,4
mix14,Poaceae,Zea,Zea mays,2,99,99,6,0.09,4
mix14,Salicaceae,Populus,Populus tremuloides,2,99,99,6,0.16,4
mix14,Salicaceae,Populus,Populus tremuloides,2,99,99,6,0.16,4
mix15,Amaranthaceae,Bassia,Bassia scoparia,2,99,99,8,0.09,4
mix15,Amaranthaceae,Bassia,Bassia scoparia,2,99,99,8,0.09,4
mix15,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,99,99,8,0.14,4
mix15,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,99,99,8,0.14,4
mix15,Asteraceae,Artemisia,Artemisia tridentata,2,99,99,8,0.16,4
mix15,Asteraceae,Artemisia,Artemisia tridentata,2,99,99,8,0.16,4
mix15,Juglandaceae,Carya,Carya illinoinensis,2,99,99,8,0.13,4
mix15,Juglandaceae,Carya,Carya illinoinensis,2,99,99,8,0.13,4
mix15,Moraceae,Broussonetia,Broussonetia papyrifera,2,99,99,8,0.15,4
mix15,Moraceae,Broussonetia,Broussonetia papyrifera,2,99,99,8,0.15,4
mix15,Poaceae,Poa,Poa pratensis,2,99,99,8,0.13,4
mix15,Poaceae,Poa,Poa pratensis,2,99,99,8,0.13,4
mix15,Poaceae,Zea,Zea mays,2,99,99,8,0.05,4
mix15,Poaceae,Zea,Zea mays,2,99,99,8,0.05,4
mix15,Salicaceae,Populus,Populus tremuloides,2,99,99,8,0.15,4
mix15,Salicaceae,Populus,Populus tremuloides,2,99,99,8,0.15,4
mix16,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,99,99,2,0.31,4
mix16,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,99,99,2,0.31,4
mix16,Asteraceae,Artemisia,Artemisia tridentata,2,99,99,2,0.69,4
mix16,Asteraceae,Artemisia,Artemisia tridentata,2,99,99,2,0.69,4
mix17,Moraceae,Broussonetia,Broussonetia papyrifera,3,99,99,2,0.64,4
mix17,Moraceae,Broussonetia,Broussonetia papyrifera,3,99,99,2,0.64,4
mix17,Salicaceae,Populus,Populus tremuloides,3,99,99,2,0.36,4
mix17,Salicaceae,Populus,Populus tremuloides,3,99,99,2,0.36,4
mix18,Asteraceae,Artemisia,Artemisia tridentata,3,99,99,2,0.71,4
mix18,Asteraceae,Artemisia,Artemisia tridentata,3,99,99,2,0.71,4
mix18,Juglandaceae,Carya,Carya illinoinensis,3,99,99,2,0.3,4
mix18,Juglandaceae,Carya,Carya illinoinensis,3,99,99,2,0.3,4
mix19,Amaranthaceae,Bassia,Bassia scoparia,3,99,99,2,0.35,4
mix19,Amaranthaceae,Bassia,Bassia scoparia,3,99,99,2,0.35,4
mix19,Moraceae,Broussonetia,Broussonetia papyrifera,3,99,99,2,0.65,4
mix19,Moraceae,Broussonetia,Broussonetia papyrifera,3,99,99,2,0.65,4
mix2,Amaranthaceae,Bassia,Bassia scoparia,1,99,99,5,0.09,4
mix2,Amaranthaceae,Bassia,Bassia scoparia,1,99,99,5,0.09,4
mix2,Asteraceae,Artemisia,Artemisia tridentata,1,99,99,5,0.23,4
mix2,Asteraceae,Artemisia,Artemisia tridentata,1,99,99,5,0.23,4
mix2,Moraceae,Broussonetia,Broussonetia papyrifera,1,99,99,5,0.45,4
mix2,Moraceae,Broussonetia,Broussonetia papyrifera,1,99,99,5,0.45,4
mix2,Poaceae,Poa,Poa pratensis,1,99,99,5,0.17,4
mix2,Poaceae,Poa,Poa pratensis,1,99,99,5,0.17,4
mix2,Poaceae,Zea,Zea mays,1,99,99,5,0.06,4
mix2,Poaceae,Zea,Zea mays,1,99,99,5,0.06,4
mix20,Asteraceae,Ambrosia,Ambrosia artemisiifolia,3,99,99,2,0.73,4
mix20,Asteraceae,Ambrosia,Ambrosia artemisiifolia,3,99,99,2,0.73,4
mix20,Poaceae,Zea,Zea mays,3,99,99,2,0.27,4
mix20,Poaceae,Zea,Zea mays,3,99,99,2,0.27,4
mix21,Moraceae,Broussonetia,Broussonetia papyrifera,3,99,99,2,0.95,4
mix21,Moraceae,Broussonetia,Broussonetia papyrifera,3,99,99,2,0.95,4
mix21,Poaceae,Poa,Poa pratensis,3,99,99,2,0.05,4
mix21,Poaceae,Poa,Poa pratensis,3,99,99,2,0.05,4
mix22,Moraceae,Broussonetia,Broussonetia papyrifera,3,99,99,2,0.92,4
mix22,Moraceae,Broussonetia,Broussonetia papyrifera,3,99,99,2,0.92,4
mix22,Poaceae,Poa,Poa pratensis,3,99,99,2,0.08,4
mix22,Poaceae,Poa,Poa pratensis,3,99,99,2,0.08,4
mix23,Moraceae,Broussonetia,Broussonetia papyrifera,3,99,99,2,0.27,2
mix23,Moraceae,Broussonetia,Broussonetia papyrifera,3,99,99,2,0.27,2
mix23,Poaceae,Poa,Poa pratensis,3,99,99,2,0.73,2
mix23,Poaceae,Poa,Poa pratensis,3,99,99,2,0.73,2
